1,Emilio,Lopez,Gutierrez,Calesa,Avenida 5 de Febrero,334,76020,6455068143,augurare@fornari.gov,Maleficiau plan�ssim fembrer SLU,8829335892,Carolina,Avenida 5 de Febrero,765,76177
2,Natalia ,Buedo,Mangas,Carolina,Abasolo,700,76177,6380447423,halurgies@arpegen.gov,Desestanyant bronquinej�veu debateg�ssiu SA,8635122373,Calesa,Abasolo,544,76020
3,Berthana ,Tufio ,Cortaza,Casa Blanca,Abelardo Ávila,500,76224,6186496839,edipiques@diligenciarien.es,Caracterol�giques forcons SL,7499508681,El Campanario,Abelardo �vila,537,76146
4,Eddy ,Ballugera ,Cabanela,El Arco,Abedul,456,76134,8759996217,animosos@ecliptic.es,Desavenien neonatologies SA,8398212739,El Carrizal,Abedul,654,76030
5,Juan ,Gabi ,Remolino,El Campanario,Abetal,321,76146,7316257605,residissin@pobretejarem.eu,Desempolain� tombassejaves atrevida SLU,816271255,Jacarandas,Abetal,234,76029
6,Virgilio ,Raon ,Garate,El Carrizal,De Los Arquitos,453,76030,796519563,voltegi@reingressarieu.net,Llotejant perxers eric�ssem,6182565221,Industrial,De Los Arquitos,634,76130
7,Laila,O�iderra,Aldana,Eucaliptos I,De los Jesuitas,963,76160,6254014051,esprintas@amansir.gov,Esperonarien vesessen psicofisi�loga SA,8278884795,Jacarandas,De los Jesuitas,897,76029
8,Laureano ,Mayllar ,Maria,Fray Juan P,Felipe Luna,1513,76036,7144082397,pencut@sintetitzesses.eu,Futur�logues accentuarà invents SL,866644802,Insurgentes,Felipe Luna,1523,76117
9,Evangelina,Mendieta,Vi�ales,Hidalgo,Felipe Carrillo,549,76057,6547455781,executaven@desentestau.es,Laiter Development,8964720483,Industrial,Felipe Carrillo,2134,76130
10,Rainier ,Roson ,Acitores,Huertas La Joya,Izcoatl,348,76137,8638489602,patronegeu@xilles.com,Maltractaria borroners circumnavegam SL,6588856338,Independencia,Izcoatl,2456,76147
11,Yamila ,Dobale ,Badas,Calesa,Jacaranda,95,76020,7493808678,inaugurarien@desordenaven.net,Suspendre xemicava SA,7640387549,Casa Blanca,Jacaranda,974,76224
12,Cirilo ,Perea,Quintairos,Casa Blanca,Jacinto,115,76224,8341585821,destorbs@retrovenguis.gov,Xaparan moquejar� sobreafeg�sseu SA,8365916296,Calesa,Jacinto,234,76020
13,Amargura ,Leyte ,Arizmendi,Independencia,Acceso Norte,653,76147,8511548191,apletassim@cintre.gov,Boscada aflorarem margo,8611829233,Huertas La Joya,Acceso Norte,541,76137
14,Perla,Reigadas,Balbas,Industrial,Bel�n,536,76130,7828078027,reproduixen@presumptiu.org,Xorr� reu apinyat SA,8755280898,Hidalgo,Bel�n,365,76057
15,Pr�xedes ,Zubeldia,Alzola,Insurgentes,Berenice,981,76117,8884629692,escloscavem@deflegmaveu.eu,Laqui blasquisme SLU,6821863442,Fray Juan P,Berenice,234,76036
16,Ryan ,Folgueral ,Cainzos,Jacarandas,Adolfo De La Huerta,1345,76029,8810230781,voluntaris@puntualitzaveu.net,Rossejar�eu doloreig SL,6452189012,Eucaliptos I,Adolfo De La Huerta,356,76160
17,Neudis ,Lezama ,Abad�a,Industrial,Acero,875,76130,7998485655,desnatat@malcriem.org,Enrandes espolseu distorsion� SL,6921092363,El Campanario,Acero,986,76146
18,Ricardo ,Chave ,Mariategui,Jacarandas,Argentina,932,76029,6737434542,testamentaria@entremesclessis.net,Remugaments esmorteixin SA,6816393316,El Carrizal,Argentina,235,76030
19,Rita,Lombana ,Mugica,El Carrizal,Aries,324,76030,7454203769,doble@bretxifiqueu.eu,Saltironeg�s parrell SL,7214468080,El Arco,Aries,2124,76134
20,Brandol ,Congey ,Viz,El Campanario,Arist�teles,563,76146,8606826404,sedavienques@retrogradarien.net,Bogu�ssim arrel,6229028586,Casa Blanca,Arist�teles,5212,76224
